Sub01;Sub02;Sub03;Sub04;Sub05;Sub06;Sub07;Sub08;Sub09;Sub10;Sub11;Sub12;Sub13;Sub14;Sub15
-346.043110308799;-853.837527344644;7080.35105433181;802.681931731837;1398.04284047035;7811.82177213005;1804.40982974171;2231.8322445209;3684.61073944034;1778.04683355614;2261.33126592834;3609.0207609432;-324.760177452421;-741.1356210691;7197.31489773165
-342.67197058917;-850.296805986217;7084.14259730563;802.676875134269;1396.62012575438;7810.90997995267;1800.89037828637;2229.91982804312;3685.34424476503;1777.76209486166;2260.32017456946;3609.01790512569;-324.658564238946;-741.021637999692;7198.61556484012
-346.324873002255;-853.997447581821;7081.92340717729;802.410712620099;1397.36845866522;7810.12779579057;1801.39765978761;2230.25765212939;3683.98316489221;1776.71842235573;2259.14556046657;3607.67923840197;-324.428303636836;-739.970673492224;7199.64738845133
-343.678980756433;-851.588189637923;7081.79741032703;800.918550432269;1395.72351408378;7808.65705354621;1801.31966153108;2230.65344234577;3682.72471500719;1775.18200265634;2258.46990362974;3607.114228745;-322.189808057995;-738.986955902367;7201.20808942766
-338.537056210717;-846.290717702307;7087.52139235544;797.936237744967;1391.45591882443;7804.88053983076;1799.8254182061;2228.7184113539;3680.04441030049;1776.35166381444;2258.63035254066;3608.11398340309;-322.305317215137;-739.74786780476;7199.65544189663
-339.271173550482;-847.093065614076;7087.70481013496;797.210904749913;1391.05705535492;7805.05240399434;1801.34779925063;2228.8078840724;3680.99370986754;1775.62895877502;2257.34229974363;3608.01894735112;-323.311243390535;-740.27675166944;7197.39430841378
-340.908145450084;-848.512404460361;7084.7276383601;796.671595692056;1389.47097253542;7804.43217765241;1801.13298498777;2230.20435300628;3684.52736148859;1775.41964937284;2257.98874218167;3607.33276129777;-324.146749924343;-741.963147014736;7195.89933870697
-342.047744917561;-849.553336955952;7084.37161660206;795.973420748226;1388.26960304622;7801.47849304569;1800.67795676031;2231.21869583461;3684.3799910252;1775.92122064047;2258.60199545428;3607.06519298196;-324.223969875009;-741.393386957536;7197.32441197003
-343.974446646063;-850.794717327085;7083.48809627449;798.90280044781;1390.06858661951;7802.35674229021;1799.51359896296;2229.87818893333;3683.41515141144;1774.9013816958;2258.45682043804;3609.44106279213;-323.96235666311;-741.61980680398;7197.70820879697
-342.540797292997;-850.078017417516;7084.32228971546;802.226954710124;1393.20932818648;7806.4969892134;1800.56445925141;2229.22180815601;3681.59835366688;1775.0263588268;2258.7633374472;3610.38948508691;-324.201366143829;-742.34139475555;7196.55045802776
